"_G3","_G2","_G1","_SID","_SREF","_GEO","State","County","Payam","School","Type","P1F","P1M","P2F","P2M","P3F","P3M","P4F","P4M","P5F","P5M","P6F","P6M","P7F","P7M","P8F","P8M","PFO","PMO","PTF","PTM","TOTP","S1F","S1M","S2F","S2M","S3F","S3M","S4F","S4M","SFO","SMO","STF","STM","TOTS","OTHRF","OTHRM","TOTO","AES_TF","AES_TM","TOT_AES","ALP_TF","ALP_TM","TOT_ALP","ECD_TF","ECD_TM","TOT_ECD","NUR_TF","NUR_TM","TOT_NUR","PRE_TF","PRE_TM","TOT_PRE","TTI_TF","TTI_TM","TOT_TTI","TVET_TF","TVET_TM","TOT_TVET","UNI_TF","UNI_TM","TOT_UNI","TOTAL"
"Southern Liech","Leer County","Padeah","10411","MSJ","28","LIS","Leer County","Padeah","Mary John Primary School [MSJ]","Primary","55","49","12","14","14","12","13","13","15","11","15","11","8","11","8","11","0","0","140","132","272","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","272"
"Southern Liech","Leer County","Padeah","10207","AEG","28","LIS","Leer County","Padeah","Nyony Primary School [AEG]","Primary","23","29","27","25","28","24","25","22","24","18","12","14","0","0","0","0","0","0","139","132","271","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","271"
"Southern Liech","Leer County","Padeah","10444","PYB","28","LIS","Leer County","Padeah","Payak Primary School [PYB]","Primary","53","51","33","45","22","30","32","20","35","24","29","23","0","0","13","15","0","0","217","208","425","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","425"
"Southern Liech","Leer County","Padeah","10338","EAF","28","LIS","Leer County","Padeah","Tuah Primary School [EAF]","Primary","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Southern Liech","Leer County","Padeah","10279","BAP","28","LIS","Leer County","Padeah","Weal Baptist Primary [BAP]","Primary","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Southern Liech","Leer County","Pilieny","9132","DUN","28","LIS","Leer County","Pilieny","Dhornyal Primary School [DUN]","Primary","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Southern Liech","Leer County","Pilieny","9133","DOL","28","LIS","Leer County","Pilieny","Dhoroal Primary School [DOL]","Primary","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Southern Liech","Leer County","Pilieny","5054","KGA","28","LIS","Leer County","Pilieny","Kai Gai Primary School [KGA]","Primary","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Southern Liech","Leer County","Pilieny","9134","WHA","28","LIS","Leer County","Pilieny","Kuachjok Primary School [WHA]","Primary","56","100","22","30","33","45","12","14","22","30","23","29","27","25","0","0","0","0","195","273","468","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","468"
"Southern Liech","Leer County","Pilieny","9131","YHO","28","LIS","Leer County","Pilieny","Nyachomdiet Primary School [YHO]","Primary","78","130","60","69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","138","199","337","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","337"
