Admin1,Admin1_Pcode,Admin2,Admin2_Alternate_Name,Admin2_Pcode,Population - 2025," % Male children
 under 5 "," No. of Male
children under 5 "," % Female
children under 5 "," No. of Female
children under 5 "," % Male children 
aged 5 - 17 years "," No. of Male children 
aged 5 - 17 years "," % Female children 
aged 5 - 17 years "," No. of Female 
children aged 5 - 17 years "," % Male adults 
aged 18 - 60 "," No. of  Male 
adults aged 18 - 60 "," % Female adults 
aged 18 - 60 "," No. of Female 
adults aged 18 - 60 "," % Male adults 
aged over 60 "," No. of Male adults 
aged over 60 "," % Female adults 
aged over 60 "," No. Female adults 
aged over 60 "
Warrap,SS08,Gogrial West,,SS0802," 347,953 ",8%," 29,193 ",7%," 23,313 ",22%," 75,889 ",19%," 65,763 ",19%," 67,155 ",18%," 64,023 ",2%," 7,725 ",4%," 14,892 "
Warrap,SS08,Tonj East,,SS0803," 190,959 ",8%," 15,506 ",8%," 15,239 ",21%," 40,560 ",20%," 37,237 ",21%," 40,101 ",15%," 29,217 ",5%," 8,803 ",2%," 4,297 "
Warrap,SS08,Tonj North,,SS0804," 271,487 ",8%," 20,579 ",8%," 22,778 ",18%," 49,139 ",17%," 46,967 ",18%," 49,954 ",18%," 49,954 ",5%," 13,330 ",7%," 18,787 "
Warrap,SS08,Tonj South,,SS0805," 126,289 ",7%," 8,802 ",8%," 10,419 ",19%," 23,363 ",20%," 25,068 ",21%," 26,394 ",19%," 23,363 ",5%," 6,491 ",2%," 2,387 "
Warrap,SS08,Twic,,SS0806," 291,675 ",8%," 24,501 ",6%," 17,355 ",20%," 59,210 ",22%," 63,877 ",17%," 50,460 ",19%," 55,652 ",3%," 9,013 ",4%," 11,609 "
Western Bahr el Ghazal,SS09,Jur River,,SS0901," 293,840 ",9%," 25,594 ",11%," 32,029 ",20%," 58,092 ",20%," 57,887 ",17%," 49,365 ",20%," 57,299 ",2%," 6,347 ",2%," 7,228 "
Western Bahr el Ghazal,SS09,Raja,Raga,SS0902," 76,633 ",10%," 7,318 ",8%," 6,100 ",20%," 15,518 ",18%," 14,100 ",19%," 14,867 ",19%," 14,790 ",2%," 1,402 ",3%," 2,537 "
Western Bahr el Ghazal,SS09,Wau,,SS0903," 345,948 ",13%," 45,665 ",12%," 42,898 ",14%," 46,703 ",18%," 60,956 ",19%," 65,038 ",22%," 77,492 ",1%," 4,449 ",1%," 2,747 "
Western Equatoria,SS10,Ezo,,SS1001," 138,291 ",6%," 8,159 ",9%," 11,865 ",17%," 23,924 ",18%," 25,376 ",18%," 25,169 ",23%," 31,669 ",5%," 7,482 ",3%," 4,647 "
Western Equatoria,SS10,Ibba,,SS1002," 68,544 ",9%," 6,073 ",7%," 4,524 ",21%," 14,189 ",17%," 11,721 ",22%," 15,285 ",21%," 14,051 ",2%," 1,206 ",2%," 1,494 "
Western Equatoria,SS10,Maridi,,SS1003," 113,864 ",10%," 11,307 ",8%," 9,587 ",16%," 18,104 ",17%," 19,095 ",19%," 21,406 ",24%," 27,213 ",2%," 2,118 ",4%," 5,033 "
Western Equatoria,SS10,Mundri East,,SS1004," 103,283 ",10%," 10,204 ",9%," 9,419 ",16%," 16,185 ",12%," 12,807 ",24%," 24,272 ",23%," 23,549 ",4%," 3,801 ",3%," 3,047 "
Western Equatoria,SS10,Mundri West,,SS1005," 51,413 ",9%," 4,869 ",9%," 4,668 ",22%," 11,182 ",16%," 8,380 ",19%," 9,779 ",21%," 10,540 ",2%, 792 ,2%," 1,203 "
Western Equatoria,SS10,Mvolo,,SS1006," 77,611 ",11%," 8,460 ",8%," 6,209 ",19%," 15,010 ",18%," 13,582 ",18%," 13,659 ",20%," 15,367 ",3%," 2,561 ",4%," 2,763 "
Western Equatoria,SS10,Nagero,,SS1007," 61,561 ",6%," 3,700 ",6%," 3,577 ",18%," 10,835 ",14%," 8,852 ",22%," 13,543 ",31%," 19,084 ",2%," 1,506 ",1%, 464 
Western Equatoria,SS10,Nzara,,SS1008," 86,370 ",9%," 8,136 ",11%," 9,760 ",17%," 14,761 ",16%," 14,165 ",18%," 15,460 ",22%," 18,656 ",4%," 3,317 ",2%," 2,116 "
Western Equatoria,SS10,Tambura,,SS1009," 122,913 ",12%," 14,332 ",11%," 12,906 ",14%," 16,962 ",16%," 20,035 ",20%," 24,951 ",24%," 29,007 ",2%," 2,139 ",2%," 2,581 "
Western Equatoria,SS10,Yambio,,SS1010," 173,972 ",10%," 17,763 ",10%," 17,745 ",17%," 29,575 ",15%," 25,400 ",22%," 38,796 ",22%," 38,970 ",1%," 2,296 ",2%," 3,427 "
,,,,," 13,442,554 ",10%," 1,295,914 ",9%," 1,187,529 ",18%," 2,377,402 ",17%," 2,334,265 ",19%," 2,554,964 ",20%," 2,711,760 ",3%," 457,628 ",4%," 523,093 "
,,,,,,,,,,,,,,,,,,,,,
