Name,Type,State,County,Latitude,Longitude
JAK primary,PRI,Warrap,Gogrial East,8.269733,28.29245
Jak-Ameth Primary School,PRI,Warrap,Tonj South,7.695033,29.735233
Jekow Primary School,PRI,Upper Nile,Maiwut,8.6017375,33.9518585
Joukou Primary School,PRI,Northern Bahr el Ghazal,Aweil North,9.058733,26.5397
Jakeba Primary School,PRI,Central Equatoria,Yei River,3.899891643,30.74123586
Jokrial Primary School,PRI,Jonglei,Uror (Wunror),8.024033333,32.009578
Jelei Primary,PRI,Eastern Equatoria,Magwi,3.5799,32.0867
Jelhak Primary School,PRI,Upper Nile,Renk,11.041117,32.695316
Jual Primary School,PRI,Jonglei,Duk,7.66343,31.489723
Juolgok Primary School,PRI,Warrap,Tonj East,8.054778,29.38144467
Joklei Primary School,PRI,Lakes,Rumbek East,6.5289415,30.033434
Jalle I Primary School,PRI,Jonglei,Bor,6.679317,31.496
Jalimo Primary School,PRI,Central Equatoria,Kajo-Keji,3.74955,31.595118
Jalite Primary School,PRI,Central Equatoria,Juba,4.8877735,31.48765774
Jamago Primary School,PRI,Central Equatoria,Yei River,3.899891643,30.74123586
Juba Model Primary School,PRI,Central Equatoria,Juba,4.98589713,31.67994678
Jambo Secondary School,SEC,Western Equatoria,Mundri East,5.064955333,30.73201067
Jombu Primary School,PRI,Central Equatoria,Yei River,3.79925,30.785633
Jamjang Primary School.,PRI,Unity,Ruweng,9.852567,30.223967
Jammara Primary School,PRI,Central Equatoria,Lainya,4.038867,30.949333
Juba DioCentral Equatoriaan Model Secondary School,SEC,Central Equatoria,Juba,4.98589713,31.67994678
Jonkok Basic Primary School,PRI,Central Equatoria,Terekeka,5.425233,31.161467
Janglow Primary School,PRI,Unity,Panyinjiar,7.687983,30.23455
Jundit Primary School,PRI,Jonglei,Uror (Wunror),8.016467,32.0355
Juong Primary School,PRI,Unity,Leer,8.326117,30.223167
Janga Primary School (Goribalau),PRI,Western Equatoria,Mundri West,5.386698222,30.26264278
Ojangbai Primary School,PRI,Jonglei,Pochalla,7.095366667,34.168116
Jansuk Primary School,PRI,Central Equatoria,Yei River,4.517129816,30.60963066
Jiok Nyang Primary,PRI,Unity,Mayom,9.088242429,29.14095971
John Kolang Primary,PRI,Jonglei,Ayod,8.363683,31.3535575
Majook Nyor Primary,PRI,Northern Bahr el Ghazal,Aweil West,8.720585,27.29911044
Jombu Progressive Secondary School,SEC,Central Equatoria,Yei River,3.899891643,30.74123586
Malith Jongkor Primary School,PRI,Northern Bahr el Ghazal,Aweil North,9.193117,26.846451
Panikar Secondary School,SEC,Lakes,Yirol West,6.54162075,30.51389975
Juba Private Primary School,PRI,Central Equatoria,Juba,5.014017,31.677816
Nyiwara Primary School,PRI,Western Bahr el Ghazal,Jur River,7.298895286,28.38646386
Jarweng Primary School,PRI,Lakes,Awerial,6.224967,31.167168
Jiir Primary School,PRI,Lakes,Rumbek Centre,6.554767,29.8612
Jabur Primary School,PRI,Central Equatoria,Juba,4.8877735,31.48765774
Jorry Primary School,PRI,Lakes,Rumbek Centre,6.684372167,29.4582385
JCC Hai Negil Primary School,PRI,Central Equatoria,Juba,4.8396,31.593884
Juba Technical Secondary School,SEC,Central Equatoria,Juba,4.98589713,31.67994678
Jiath Primary School,PRI,Jonglei,Old Fangak,8.83415,30.715532
Jotome primary,PRI,Upper Nile,Maiwut,8.63915,33.8339
Ajuaja Primary School,PRI,Warrap,Gogrial West,8.760345286,28.15426457
Juba Academy,SEC,Central Equatoria,Juba,4.8877735,31.48765774
Juba Modern Primary School,PRI,Central Equatoria,Juba,4.853290368,31.55675447
Juwa Primary School,PRI,Jonglei,Akobo,7.874908958,32.73703583
Ajwara Primary School,PRI,Jonglei,Pochalla,7.139867,33.966084
Jok Yousof Ngor Primary,PRI,Upper Nile,Renk,11.73422268,32.82643359
St. Thomas Basic School,PRI,Western Bahr el Ghazal,Wau,7.63025,28.025383
Kabu Basic School,PRI,Central Equatoria,Juba,4.9349,30.587566
Kabara Girls Primary School,PRI,Warrap,Twic,9.135366667,28.50899267
Akach Primary School,PRI,Northern Bahr el Ghazal,Aweil South,8.6084,27.8235
Malek Kadany Primary School,PRI,Northern Bahr el Ghazal,Aweil West,8.720585,27.29911044
Karika Centre Primary School,PRI,Western Equatoria,Mundri West,5.138283,30.053482
Karic child friendly,PRI,Warrap,Gogrial West,7.72175,27.997417
Kama Primary School,PRI,Central Equatoria,Morobo,3.686521259,30.81149592
Kah Primary School,PRI,Unity,Mayiandit,8.3235,30.076183
Koat Gai Primary School,PRI,Jonglei,Old Fangak,9.105458333,30.73948017
Kuajiena Primary School,PRI,Western Bahr el Ghazal,Jur River,7.29205,28.4436
Kiir Akuc Primary School,PRI,Jonglei,Twic East,7.259617,31.358334
Kaka Alsalam Primary,PRI,Upper Nile,Manyo,11.012,32.52
Kamel Primary School,PRI,Jonglei,Uror (Wunror),8.032933,32.016167
Kalalayi Primary School,PRI,Western Equatoria,Mundri East,5.252880583,30.50908325
Akathuok Primary,PRI,Warrap,Twic,9.135366667,28.50899267
Kang Kuot Primary School,PRI,Northern Bahr el Ghazal,Aweil North,9.1743,26.995867
Kurwai Primary School,PRI,Jonglei,Ayod,7.956,31.439667
Kanyara Primary School,PRI,Central Equatoria,Morobo,3.704683,30.799168
