Admin1,Admin2,Admin2_Pcode,Age_Group,Population_Count
Lakes,Rumbek North,SS0405,Male_5_17,15234.491668504808
Lakes,Wulu,SS0406,Male_5_17,20017.52436252391
Lakes,Yirol East,SS0407,Male_5_17,26363.868487389624
Lakes,Yirol West,SS0408,Male_5_17,30281.26528747783
Northern Bahr el Ghazal,Aweil Centre,SS0501,Male_5_17,11109.45025667262
Northern Bahr el Ghazal,Aweil East,SS0502,Male_5_17,80261.99434386662
Northern Bahr el Ghazal,Aweil North,SS0503,Male_5_17,37594.93986424941
Northern Bahr el Ghazal,Aweil South,SS0504,Male_5_17,24029.233664085536
Northern Bahr el Ghazal,Aweil West,SS0505,Male_5_17,42626.01437317312
Unity,Abiemnhom,SS0601,Male_5_17,11056.00873446378
Unity,Guit,SS0602,Male_5_17,13748.782672762223
Unity,Koch,SS0603,Male_5_17,19738.067822180696
Unity,Leer,SS0604,Male_5_17,14492.935776924694
Unity,Mayendit,SS0605,Male_5_17,15000.869578977929
Unity,Mayom,SS0606,Male_5_17,28261.73685043463
Unity,Panyijiar,SS0607,Male_5_17,23253.221765449514
Unity,Pariang,SS0608,Male_5_17,24451.42518675943
Unity,Rubkona,SS0609,Male_5_17,58250.10287223384
Upper Nile,Baliet,SS0701,Male_5_17,19112.386019412614
Upper Nile,Fashoda,SS0702,Male_5_17,16084.818301843445
Upper Nile,Longochuk,SS0703,Male_5_17,14051.864598878406
Upper Nile,Luakpiny/Nasir,SS0704,Male_5_17,58047.76001523321
Upper Nile,Maban,SS0705,Male_5_17,17248.250543039998
Upper Nile,Maiwut,SS0706,Male_5_17,26327.19810328213
Upper Nile,Malakal,SS0707,Male_5_17,18730.972012612783
Upper Nile,Manyo,SS0708,Male_5_17,8804.592291887071
Upper Nile,Melut,SS0709,Male_5_17,29760.04064094866
Upper Nile,Panyikang,SS0710,Male_5_17,7474.037051667715
Upper Nile,Renk,SS0711,Male_5_17,47749.64676302841
Upper Nile,Ulang,SS0712,Male_5_17,28936.837022191125
Warrap,Gogrial East,SS0801,Male_5_17,26925.752938415357
Warrap,Gogrial West,SS0802,Male_5_17,75888.55838643631
Warrap,Tonj East,SS0803,Male_5_17,40559.70975217705
Warrap,Tonj North,SS0804,Male_5_17,49139.22641991952
Warrap,Tonj South,SS0805,Male_5_17,23363.416599823988
Warrap,Twic,SS0806,Male_5_17,59210.00579051986
Western Bahr el Ghazal,Jur River,SS0901,Male_5_17,58092.25297540473
Western Bahr el Ghazal,Raja,SS0902,Male_5_17,15518.141850966083
Western Bahr el Ghazal,Wau,SS0903,Male_5_17,46702.96661945958
Western Equatoria,Ezo,SS1001,Male_5_17,23924.399899692853
Western Equatoria,Ibba,SS1002,Male_5_17,14188.57967306605
Western Equatoria,Maridi,SS1003,Male_5_17,18104.307580379154
Western Equatoria,Mundri East,SS1004,Male_5_17,16184.520092043156
Western Equatoria,Mundri West,SS1005,Male_5_17,11182.349613745197
Western Equatoria,Mvolo,SS1006,Male_5_17,15009.882751693509
Western Equatoria,Nagero,SS1007,Male_5_17,10834.736
Western Equatoria,Nzara,SS1008,Male_5_17,14760.561186399716
Western Equatoria,Tambura,SS1009,Male_5_17,16961.983929276335
Western Equatoria,Yambio,SS1010,Male_5_17,29575.21349083311
,,,Male_5_17,2377401.8954570214
Abyei Administrative Area,Abyei Administrative Area,SS0001,Female_5_17,25146.934
Central Equatoria,Juba,SS0101,Female_5_17,90762.62784516836
Central Equatoria,Kajo-keji,SS0102,Female_5_17,14989.178261606932
Central Equatoria,Lainya,SS0103,Female_5_17,12392.130574934125
Central Equatoria,Morobo,SS0104,Female_5_17,22281.550649092183
Central Equatoria,Terekeka,SS0105,Female_5_17,43737.62859697807
Central Equatoria,Yei,SS0106,Female_5_17,61916.72642835931
Eastern Equatoria,Budi,SS0201,Female_5_17,18765.96676624164
Eastern Equatoria,Ikotos,SS0202,Female_5_17,17339.072033188164
Eastern Equatoria,Kapoeta East,SS0203,Female_5_17,29763.23290786671
Eastern Equatoria,Kapoeta North,SS0204,Female_5_17,27080.416476772098
Eastern Equatoria,Kapoeta South,SS0205,Female_5_17,21629.82654289011
Eastern Equatoria,Lafon,SS0206,Female_5_17,30133.134938948057
Eastern Equatoria,Magwi,SS0207,Female_5_17,46488.071652879415
Eastern Equatoria,Torit,SS0208,Female_5_17,12115.24078546868
Jonglei,Akobo,SS0301,Female_5_17,37848.63364148074
Jonglei,Ayod,SS0302,Female_5_17,31062.07952471879
Jonglei,Bor South,SS0303,Female_5_17,54980.225691390784
Jonglei,Canal/Pigi,SS0304,Female_5_17,17188.42331377043
Jonglei,Duk,SS0305,Female_5_17,32840.72533385986
Jonglei,Fangak,SS0306,Female_5_17,34723.743908000084
Jonglei,Nyirol,SS0307,Female_5_17,29340.63811596005
Jonglei,Pibor,SS0308,Female_5_17,36835.60932510104
Jonglei,Pochalla,SS0309,Female_5_17,14366.772634179692
Jonglei,Twic East,SS0310,Female_5_17,22459.216751675813
Jonglei,Uror,SS0311,Female_5_17,36595.811718066514
Lakes,Awerial,SS0401,Female_5_17,33748.20614516537
Lakes,Cueibet,SS0402,Female_5_17,38596.55433999487
Lakes,Rumbek Centre,SS0403,Female_5_17,50284.34518295591
Lakes,Rumbek East,SS0404,Female_5_17,36917.88879504826
Lakes,Rumbek North,SS0405,Female_5_17,16210.099509345018
Lakes,Wulu,SS0406,Female_5_17,16973.384712923496
Lakes,Yirol East,SS0407,Female_5_17,28353.5944109662
Lakes,Yirol West,SS0408,Female_5_17,37171.61307744284
