Admin1,Admin1_Pcode,Admin2,Admin2_Alternate_Name,Admin2_Pcode,Population - 2025,"% Male children
 under 5","No. of Male
children under 5","% Female
children under 5","No. of Female
children under 5","% Male children 
aged 5 - 17 years","No. of Male children 
aged 5 - 17 years","% Female children 
aged 5 - 17 years","No. of Female 
children aged 5 - 17 years","% Male adults 
aged 18 - 60","No. of  Male 
adults aged 18 - 60","% Female adults 
aged 18 - 60","No. of Female 
adults aged 18 - 60","% Male adults 
aged over 60","No. of Male adults 
aged over 60","% Female adults 
aged over 60","No. Female adults 
aged over 60"
Warrap,SS08,Gogrial East,,SS0801,138792.54091966676,0.0914,12685.638240057542,0.091,12630.121223689675,0.194,26925.752938415353,0.1824,25315.759463747218,0.19099999999999998,26509.375315656347,0.168,23317.14687450402,0.035699999999999996,4954.893710832102,0.0465,6453.853152764505
Warrap,SS08,Gogrial West,,SS0802,347953.04166178964,0.0839,29193.26019542415,0.067,23312.85379133991,0.2181,75888.55838643631,0.189,65763.12487407825,0.193,67154.9370407254,0.184,64023.35966576929,0.022200000000000004,7724.557524891731,0.0428,14892.390183124597
Warrap,SS08,Tonj East,,SS0803,190959.08546222714,0.0812,15505.877739532843,0.0798,15238.535019885725,0.2124,40559.70975217705,0.195,37237.02166513429,0.21,40101.407947067695,0.153,29216.74007572075,0.046099999999999995,8803.21383980867,0.0225,4296.57942290011
Warrap,SS08,Tonj North,,SS0804,271487.43878408574,0.0758,20578.7478598337,0.0839,22777.796113984794,0.181,49139.22641991952,0.173,46967.32690964683,0.184,49953.688736271775,0.184,49953.688736271775,0.0491,13330.03324429861,0.0692,18786.93076385873
Warrap,SS08,Tonj South,,SS0805,126288.73837742697,0.0697,8802.32506490666,0.0825,10418.820916137725,0.185,23363.416599823988,0.1985,25068.314567919253,0.20900000000000002,26394.34632088224,0.185,23363.416599823988,0.0514,6491.241152599747,0.0189,2386.8571553333695
Warrap,SS08,Twic,,SS0806,291674.90537201904,0.084,24500.6920512496,0.0595,17354.65686963513,0.20299999999999999,59210.00579051986,0.219,63876.80427647217,0.173,50459.75862935929,0.1908,55651.57194498123,0.030899999999999997,9012.754575995388,0.0398,11608.661233806359
Western Bahr el Ghazal,SS09,Jur River,,SS0901,293840.4298199531,0.0871,25593.501437317915,0.109,32028.606850374887,0.1977,58092.25297540473,0.197,57886.56467453076,0.16799999999999998,49365.19220975212,0.195,57298.883814890854,0.021599999999999998,6346.953284110987,0.0246,7228.474573570847
Western Bahr el Ghazal,SS09,Raja,Raga,SS0902,76632.79926403004,0.0955,7318.4323297148685,0.0796,6099.970821416791,0.2025,15518.141850966083,0.184,14100.435064581527,0.194,14866.763057221828,0.193,14790.130257957797,0.018300000000000004,1402.38022653175,0.0331,2536.545655639394
Western Bahr el Ghazal,SS09,Wau,,SS0903,345947.90088488575,0.132,45665.12291680492,0.124,42897.53970972583,0.135,46702.96661945958,0.1762,60956.020135916864,0.18799999999999997,65038.20536635851,0.224,77492.32979821441,0.01286,4448.890005379631,0.00794,2746.8263330259924
Western Equatoria,SS10,Ezo,,SS1001,138291.3288999587,0.059,8159.188405097562,0.0858,11865.396019616455,0.173,23924.399899692853,0.1835,25376.45885314242,0.18199999999999997,25169.02185979248,0.229,31668.714318090544,0.0541,7481.5608934877655,0.0336,4646.588651038612
