school_name,name_capital letter,"name_en,C,80",school_type1,school_type2,school_type3,school_type4,school_type5,"building,C,80","operator_t,C,80",operator_type,"capacity_p,C,80","addr_full,C,80","addr_city,C,80","source,C,80","osm_id,N,18,0","osm_type,C,80"
Noor Primary School,Noor Primary School,,0,Primary School,0,0,0,,public,Public,,,,,12158075316,nodes
Nuru Nursery School,Nuru Nursery School,,Nursery School,0,0,0,0,,community,Community,,,,,12158075317,nodes
Nyambiri Primary School,Nyambiri Primary School,,0,Primary School,0,0,0,,public,Public,,,,,12158075318,nodes
Nyojo Primary School,Nyojo Primary School,,0,Primary School,0,0,0,,public,Public,,,,,12158075319,nodes
Obero Primary School,Obero Primary School,,0,Primary School,0,0,0,,public,Public,,,,,12158075320,nodes
Odokomba Primary School,Odokomba Primary School,,0,Primary School,0,0,0,,religious,Religious,,,,,12158075321,nodes
Ogolo Primary School,Ogolo Primary School,,0,Primary School,0,0,0,,religious,Religious,,,,,12158075322,nodes
Okari primary school,Okari Primary School,,0,Primary School,0,0,0,,public,Public,,,,,12158075323,nodes
Omdurman primary school,Omdurman Primary School,,0,Primary School,0,0,0,,public,Public,,,,,12158075324,nodes
One Way Nursery and primary school,One Way Nursery And Primary School,,Nursery School,Primary School,0,0,0,,public,Public,,,,,12158075325,nodes
Orphanage Primary,Orphanage Primary,,0,Primary School,0,0,0,,community,Community,,,,,12158075326,nodes
Osubira Primary School,Osubira Primary School,,0,Primary School,0,0,0,,public,Public,,,,,12158075327,nodes
Paanjala Nursery School,Paanjala Nursery School,,Nursery School,Primary School,0,0,0,,private,Private,,,,,12158075328,nodes
Palacam Primary School,Palacam Primary School,,0,Primary School,0,0,0,,public,Public,,,,,12158075329,nodes
Palmar primary school,Palmar Primary School,,0,Primary School,0,0,0,,private,Private,,,,,12158075330,nodes
Panjara Primary School,Panjara Primary School,,0,Primary School,0,0,0,,public,Public,,,,,12158075331,nodes
Parish primary school,Parish Primary School,,0,Primary School,0,0,0,,private,Private,,,,,12158075332,nodes
Partial p school,Partial P School,,0,Primary School,0,0,0,,public,Public,,,,,12158075333,nodes
Pentagon College,Pentagon College,,0,Primary School,College,0,0,,private,Private,,,,,12158075334,nodes
Peremasu School,Peremasu School,,0,Primary School,0,0,0,,religious,Religious,,,,,12158075335,nodes
Pibor primary school,Pibor Primary School,,0,Primary School,0,0,0,,public,Public,,,,,12158075336,nodes
Potika Nursery School,Potika Nursery School,,Nursery School,Primary School,0,0,0,,public,Public,,,,,12158075337,nodes
Primary school Leer,Primary School Leer,,0,Primary School,0,0,0,,religious,Religious,,,,,12158075338,nodes
Riangmal primary school,Riangmal Primary School,,0,Primary School,0,0,0,,public,Public,,,,,12158075339,nodes
Riangmal primary school,Riangmal Primary School,,0,Primary School,0,0,0,,public,Public,,,,,12158075340,nodes
ROA Primary School,Roa Primary School,,0,Primary School,0,0,0,,public,Public,,,,,12158075341,nodes
Romogi Seed Secondary School,Romogi Seed Secondary School,,0,0,0,Secondary School,0,,religious,Religious,,,,,12158075342,nodes
Rubeke primary school,Rubeke Primary School,,0,Primary School,0,0,0,,public,Public,,,,,12158075343,nodes
Rubeke Primary school,Rubeke Primary School,,0,Primary School,0,0,0,,public,Public,,,,,12158075344,nodes
Rubeke primary school otogo pam,Rubeke Primary School Otogo Pam,,0,Primary School,0,0,0,,religious,Religious,,,,,12158075345,nodes
Rubeke secondary school,Rubeke Secondary School,,0,0,0,Secondary School,0,,private,Private,,,,,12158075346,nodes
Rumaker primary school,Rumaker Primary School,,0,Primary School,0,0,0,,private,Private,,,,,12158075347,nodes
Saint Andrew College,Saint Andrew College,,0,0,College,0,0,,public,Public,,,,,12158075348,nodes
Saint Kizito Primary School,Saint Kizito Primary School,,0,Primary School,0,0,0,,public,Public,,,,,12158075349,nodes
Sasanya Nursery School,Sasanya Nursery School,,Nursery School,0,0,0,0,,community,Community,,,,,12158075350,nodes
Seventh advertise nursery school,Seventh Advertise Nursery School,,Nursery School,0,0,0,0,,private,Private,,,,,12158075351,nodes
Seventh days advertise primary school,Seventh Days Advertise Primary School,,0,Primary School,0,0,0,,public,Public,,,,,12158075352,nodes
